id,batch,category,status,attempts,model,input_tokens,output_tokens,cost_usd,cost_all_attempts_usd,duration_s,html_lines,meshes,groups,animated,controls_ui,shadows,geometries,file,prompt
042_quadcopter_drone,batch_05,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A generic unbranded consumer quadcopter drone: matte grey body, four folding arms with motors and two-blade propellers that spin, landing legs, a front gimbal camera that tilts, and small green/red navigation LEDs. The drone hovers with slight bobbing."
043_mechanical_keyboard,batch_05,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A tenkeyless mechanical keyboard with an aluminum case, sculpted keycaps in two tones (off-white alphas, grey modifiers), a coiled USB cable, and subtle per-key RGB backlight glow. Keys depress when the user types on their real keyboard."
044_steam_locomotive,batch_05,vehicle,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A stylized early-1900s steam locomotive in black and red: cylindrical boiler, smokestack, cab, cowcatcher, large driving wheels linked by animated connecting rods, and a coal tender. It chugs along a short straight track loop with smoke puffs."
045_log_cabin,batch_05,architecture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A small log cabin in a clearing: stacked round logs with overlapping corners, a stone chimney emitting a thin smoke trail, a covered front porch with a bench, windows glowing warm, a woodpile, and a few pine trees around it. Snow on the roof."
046_maple_tree_autumn,batch_05,nature,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A single maple tree in autumn: a thick branching trunk generated recursively, a dense canopy of orange-red-yellow leaf clusters, and individual leaves slowly falling and accumulating on the grass below."
047_newtons_cradle,batch_05,mechanical,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A Newton's cradle desk toy: a chrome frame on a black base, five steel balls hung by thin wires in V pairs. Simulate the classic motion: pull back one ball (or click to choose 1–3 balls) and momentum transfers through the row realistically."
048_pizza,batch_05,food,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A freshly baked pizza on a wooden peel: slightly irregular crust with browned edges, tomato sauce, melted cheese with bubbles, pepperoni slices, basil leaves, and one slice partially pulled away with a stretchy cheese strand."
049_library_reading_room,batch_05,indoor_scene,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A university library reading room about 15 m x 10 m: tall bookshelves along the walls densely filled with books, long wooden tables with green banker's lamps, chairs, a circulation desk, a hanging directional sign, and large windows. Camera at 1.6 m eye height from the doorway."
050_original_snail_courier,batch_05,character,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"An original snail courier character (not based on any existing IP): a friendly snail with a spiral shell that has a tiny mailbag strapped on, a cap, big eyes on eyestalks, sliding slowly forward and leaving a faint shiny trail."
051_kitchen_island,batch_06,furniture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A modern kitchen island with a white quartz countertop, navy-blue cabinet base with drawers and brass pulls, an overhang with three wooden bar stools, a small sink with a faucet, and a fruit bowl and cutting board on top."
052_robot_vacuum,batch_06,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A generic round robot vacuum cleaner: dark grey top with a raised lidar turret, a front bumper, side brushes that spin, and small wheels underneath. It drives an animated path around a simple room floor with a sofa and a rug, turning when it bumps obstacles."
053_acoustic_guitar,batch_06,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A generic acoustic guitar: spruce-colored top with a round sound hole and rosette, dark rosewood back and sides, a long neck with frets and fret markers, a headstock with six tuning pegs, a bridge, and six strings. It stands on a simple guitar stand."
054_biplane,batch_06,vehicle,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A vintage biplane in cream and red: two stacked wings connected by struts and bracing wires, an open cockpit with a windscreen, a radial engine with a spinning propeller, fixed landing gear, and a tail with rudder. It flies in a slow circle over a grass field."
055_suspension_bridge,batch_06,architecture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A suspension bridge spanning a river gorge: two tall towers, main cables forming catenary curves, many vertical hanger cables, a road deck with lane markings, and a few small cars moving across. Water flows below."
056_mushroom_log,batch_06,nature,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A mossy fallen log on a forest floor with a cluster of mushrooms of different sizes (red caps with white spots and brown caps), ferns, a few pebbles, and scattered leaves. Soft dappled light filtering through."
057_orrery,batch_06,mechanical,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A brass orrery (mechanical solar system model): a glowing sun at the center, planets on arms at different radii orbiting at speeds proportional to real orbital periods, a moon orbiting the earth, and a gear base with visible gears turning. A slider controls simulation speed."
058_burger_meal,batch_06,food,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A gourmet burger on a wooden board: sesame-seed brioche bun, beef patty with grill marks, melting cheddar, lettuce, tomato slices, red onion rings, pickles, held together with a small skewer, plus a side of fries in a paper cone and a ramekin of ketchup."
059_airport_gate,batch_06,indoor_scene,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"An airport departure gate area about 20 m x 12 m: rows of connected seating, a gate desk with a screen showing a generic flight number, large floor-to-ceiling windows with a parked airplane visible outside, overhead signage with gate letters and arrows, and a trash bin. Camera at 1.6 m eye height."
060_original_penguin_chef,batch_06,character,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"An original penguin chef character (not based on any existing IP): round black-and-white penguin wearing a tall white chef's hat and a small apron, holding a wooden spoon, standing next to a tiny stove with a pot. It stirs the pot in a looping animation."
061_study_desk,batch_07,furniture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A student study desk in light birch: a rectangular top, a side pedestal with three drawers (one slightly open), a hutch shelf with books and a pencil cup, a desk lamp, an open notebook, and a laptop. Drawers open when clicked."
062_backpack,batch_07,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A generic unbranded hiking backpack in olive green and orange: rounded main compartment, a front zip pocket, side mesh pockets holding a water bottle, padded shoulder straps, compression straps with buckles, and a top loop handle. Soft, slightly bulging fabric shapes."
063_table_fan,batch_07,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A retro table fan in mint green: round weighted base, an adjustable neck, a circular wire safety cage, and three metal blades. The blades spin, and the head oscillates left and right; buttons on the base set speed (off/1/2/3)."
064_delivery_scooter,batch_07,vehicle,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A small city delivery scooter (moped) in white and orange: step-through body, round headlight, handlebar with mirrors, a seat, and a large insulated delivery box on a rear rack. Wheels spin and the scooter follows a curved street path."
065_pagoda,batch_07,architecture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A five-tier East Asian pagoda: a stone platform with steps, each tier with red wooden columns and dark curved tile roofs with upturned eaves, hanging small bells at the corners, and a spire finial at the top. Surrounded by a few stone lanterns and pine trees."
066_waterfall,batch_07,nature,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A small waterfall cascading over layered rocks into a pool: animated flowing water surfaces, white foam and mist particles at the base, mossy rocks, ferns, and a few reeds around the pool edge."
067_tower_crane,batch_07,mechanical,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A construction tower crane: lattice mast built from repeated truss segments, an operator cab, a horizontal jib with a trolley, a counter-jib with concrete counterweights, and a hook on cables. The jib slews, the trolley moves, and the hook lifts a steel beam in a loop."
068_fruit_bowl,batch_07,food,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A ceramic fruit bowl on a linen cloth, holding apples, oranges, a bunch of bananas, a cluster of grapes, and a pear, arranged naturally with some fruits overlapping. One orange is peeled open beside the bowl showing segments."
069_parking_garage,batch_07,indoor_scene,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"One level of an underground parking garage about 30 m x 20 m: concrete columns with painted level numbers, marked parking bays with a few parked generic cars, directional arrows on the floor, ceiling pipes and fluorescent lights, an elevator lobby door, and an exit sign. Camera at 1.6 m eye height."
070_original_jellyfish,batch_07,character,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"An original glowing jellyfish creature (not based on any existing IP): a translucent bell with soft bioluminescent patterns, a cute simple face, long trailing tentacles that wave, drifting slowly up and down in a dark-blue water space with floating particles."
071_velvet_sofa,batch_08,furniture,ok,2,default,14357,12084,0.29212,0.29212,106.9,329,3,9,y,n,y,Box Cylinder Plane,batches/batch_08/outputs/071_velvet_sofa.html,"A three-seat mid-century sofa in emerald velvet: rounded track arms, three seat cushions and three back cushions with soft bulging shapes, channel tufting on the back, tapered brass-tipped legs, and two contrasting throw pillows."
072_stand_mixer,batch_08,product,error: [Errno 2] No such file or directory: 'claude',1,default,0,0,0.0,0.0,0.0,0,,,,,,,,"A generic unbranded kitchen stand mixer in glossy red: tilt-head design with a motor head that tilts back on click, a polished steel bowl on a base plate, a flat beater attachment that spins in a planetary motion, a speed lever, and rubber feet."
073_tube_radio,batch_08,product,error: [Errno 2] No such file or directory: 'claude',1,default,0,0,0.0,0.0,0.0,0,,,,,,,,"A 1940s tabletop tube radio: rounded-top walnut cabinet, a fabric speaker grille with vertical brass bars, a glowing amber tuning dial with a moving needle, and two knobs. Turning the right knob (drag) moves the needle."
074_hot_air_balloon,batch_08,vehicle,error: [Errno 2] No such file or directory: 'claude',1,default,0,0,0.0,0.0,0.0,0,,,,,,,,"A hot air balloon with a teardrop envelope in alternating colored vertical gores, suspension ropes, a burner that flares with a flame light periodically, and a wicker basket. The balloon drifts slowly upward and sways above rolling green hills."
075_garden_gazebo,batch_08,architecture,error: [Errno 2] No such file or directory: 'claude',1,default,0,0,0.0,0.0,0.0,0,,,,,,,,"An octagonal white wooden garden gazebo: eight posts with decorative corner brackets, lattice railings, a pointed shingled roof with a finial, a few steps up to the floor, climbing roses on two posts, and a bench inside. Set on a small lawn with a stone path."
076_bamboo_grove,batch_08,nature,error: [Errno 2] No such file or directory: 'claude',1,default,0,0,0.0,0.0,0.0,0,,,,,,,,"A dense bamboo grove: dozens of tall segmented bamboo culms with visible nodes in varied greens, narrow leaf clusters at the tops, a mossy ground with fallen leaves, and a narrow stone path through the middle. Culms sway slightly in a breeze."
077_wind_turbine,batch_08,mechanical,error: [Errno 2] No such file or directory: 'claude',1,default,0,0,0.0,0.0,0.0,0,,,,,,,,"A modern three-blade wind turbine on a tapered white tower: a nacelle housing, a hub with three long aerodynamic blades that rotate, and a small cutaway view (toggle) showing the gearbox and generator inside the nacelle. Stands on a grassy hill."
078_dumplings_steamer,batch_08,food,error: [Errno 2] No such file or directory: 'claude',1,default,0,0,0.0,0.0,0.0,0,,,,,,,,"An open bamboo steamer basket with eight pleated soup dumplings on a lettuce leaf liner, steam wisps rising, the bamboo lid leaning against it, a small dish of black vinegar with ginger slivers, a porcelain spoon, and chopsticks."
079_museum_gallery,batch_08,indoor_scene,error: [Errno 2] No such file or directory: 'claude',1,default,0,0,0.0,0.0,0.0,0,,,,,,,,"A museum gallery hall about 20 m x 12 m: white walls with evenly spaced framed paintings (plain color abstract rectangles only), two freestanding sculptures on pedestals, a bench in the center, track lighting, a doorway to the next room, and a wall-mounted room-number and directional sign. Camera at 1.6 m eye height."
080_original_hedgehog_gardener,batch_08,character,error: [Errno 2] No such file or directory: 'claude',1,default,0,0,0.0,0.0,0.0,0,,,,,,,,"An original hedgehog gardener character (not based on any existing IP): round body with soft spines, a straw hat, a tiny green apron, holding a small watering can, standing beside a flower pot. It waters the flower in a looping animation and the flower grows slightly."
081_wardrobe,batch_09,furniture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A two-door wooden wardrobe in walnut with a bottom drawer: doors open on click to reveal a hanging rail with several shirts and coats on hangers, a shelf with folded sweaters, and a pair of shoes on the floor. Brass knobs and a crown molding on top."
082_running_shoe,batch_09,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A generic unbranded running shoe: layered mesh upper in light grey with teal accents, laces through eyelets, a padded heel collar, a thick sculpted midsole foam, and a rubber outsole with a tread pattern. Displayed at a slight angle on a small pedestal."
083_rotary_phone,batch_09,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A vintage rotary telephone in black bakelite: a handset resting on a cradle, a coiled cord, and a finger-hole rotary dial with numbers underneath. Clicking a number spins the dial forward and it springs back; lifting the handset is a toggle."
084_research_submarine,batch_09,vehicle,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A small yellow deep-sea research submersible: a rounded hull with a large acrylic viewing dome at the front, external floodlights casting beams, two manipulator arms, rear propellers that spin, and ballast tanks. It hovers slowly above a dark seabed with rocks and particles."
085_glass_house,batch_09,architecture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A modern single-story glass pavilion house: flat cantilevered white roof, floor-to-ceiling glass walls with thin black mullions, a visible interior with a sofa, dining table and kitchen block, a wooden deck, and a reflecting pool in front. Late-afternoon light."
086_desert_arch,batch_09,nature,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A red-rock desert landscape with a natural sandstone arch: layered sedimentary strata in orange and red bands, scattered boulders, sparse desert shrubs and a few small cacti, sandy ground, and a warm sunset sky gradient."
087_oil_pumpjack,batch_09,mechanical,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"An oil pumpjack (nodding donkey): a concrete pad, an A-frame samson post, a walking beam with a horsehead at one end, a crank with counterweights, a pitman arm, and an electric motor with a belt drive. The mechanism animates with correct linkage motion."
088_ice_cream_sundae,batch_09,food,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A tall glass sundae cup with three scoops of ice cream (vanilla, strawberry, chocolate) showing scooped textures, hot fudge drizzle, whipped cream swirl, rainbow sprinkles, a cherry on top, a wafer stick, and a long spoon beside it."
089_classroom,batch_09,indoor_scene,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A school classroom about 10 m x 8 m: rows of student desks and chairs, a teacher's desk, a whiteboard with a few simple drawn shapes, a wall clock, bookshelves at the back, windows along one side, a door with a small window and a room-number plate. Camera at 1.6 m eye height from the doorway."
090_original_hamster_astronaut,batch_09,character,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"An original hamster astronaut character (not based on any existing IP): a round hamster in a small white spacesuit with a clear bubble helmet, a tiny backpack, floating in space with gentle rotation among a few stars and a small planet with a ring."
091_vanity_dresser,batch_10,furniture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A vintage vanity dresser in white with gold accents: a curved-front base with drawers, a large oval tilting mirror with a reflective material, a matching upholstered stool, and a few items on top (perfume bottles, a jewelry box, a small vase with flowers)."
092_camping_lantern,batch_10,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A classic camping lantern: a metal base with a fuel tank and valve knob, a glass globe with a glowing mantle that casts warm point light, a vented top cap, and a wire bail handle. It sits on a log with a flickering glow at night."
093_skateboard,batch_10,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A skateboard with a maple deck with concave shape and kicked-up nose and tail, a colorful abstract graphic on the bottom (simple shapes only), grip tape on top, two metal trucks with bushings, and four urethane wheels. It flips over periodically to show the underside."
094_fire_truck,batch_10,vehicle,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A stylized red fire truck: a crew cab, emergency light bar with flashing red lights, side compartments with roll-up doors, chrome ladders, hose reels, and a turntable ladder on top that raises and extends when a button is pressed."
095_castle_gatehouse,batch_10,architecture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A medieval stone castle gatehouse: two round flanking towers with crenellated battlements, an arched gateway with a portcullis that raises and lowers (button), a wooden drawbridge over a moat with water, arrow slits, and banners on poles."
096_lotus_pond,batch_10,nature,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A tranquil lotus pond: calm water with subtle ripples, large round lotus leaves floating and some standing above the water, pink lotus flowers in various stages of bloom, reeds along the edge, and two dragonflies darting around."
097_music_box,batch_10,mechanical,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"An open wooden music box: a polished box with a hinged lid, a brass cylinder with small pins, a steel comb with tuned teeth, a wind-up key on the side, and a tiny rotating figurine (simple abstract dancer shape) on top. The cylinder turns and pins pluck the comb teeth (visible deflection)."
098_taco_plate,batch_10,food,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A colorful ceramic plate with three street tacos: soft corn tortillas folded around grilled meat, diced onions, cilantro, lime wedges, and salsa, plus a small bowl of guacamole and a few tortilla chips, on a woven placemat."
099_mall_atrium,batch_10,indoor_scene,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A two-level shopping mall atrium: a central open void with glass railings, escalators connecting the floors, storefronts with generic unbranded signs, a directory kiosk with a floor map, benches and potted trees, and a skylight above. Camera at 1.6 m eye height on the ground floor."
